
stat_sample_freq: 166
total_cycles 11: 600.000000
total_cycles 12: 200.000000
total_cycles 13: 400.000000
total_cycles 14: 600.000000
stat_sample_freq: 233
total_cycles 0: 233.000000
total_cycles 1: 466.000000
total_cycles 2: 699.000000
total_cycles 3: 233.000000
total_cycles 4: 466.000000
total_cycles 5: 699.000000
total_cycles 6: 233.000000
total_cycles 7: 466.000000
total_cycles 8: 699.000000
total_cycles 9: 233.000000
total_cycles 10: 466.000000
total_cycles 11: 699.000000
total_cycles 12: 233.000000
total_cycles 13: 466.000000
total_cycles 14: 699.000000
stat_sample_freq: 166
total_cycles 0: 166.000000
total_cycles 1: 332.000000
total_cycles 2: 498.000000
total_cycles 3: 166.000000
total_cycles 4: 332.000000
total_cycles 5: 498.000000
total_cycles 6: 166.000000
total_cycles 7: 332.000000
total_cycles 8: 498.000000
total_cycles 9: 166.000000
total_cycles 10: 332.000000
total_cycles 11: 498.000000
total_cycles 12: 166.000000
total_cycles 13: 332.000000
total_cycles 14: 498.000000
stat_sample_freq: 200
total_cycles 0: 200.000000
total_cycles 1: 400.000000
total_cycles 2: 600.000000
total_cycles 3: 200.000000
total_cycles 4: 400.000000
total_cycles 5: 600.000000
total_cycles 6: 200.000000
total_cycles 7: 400.000000
total_cycles 8: 600.000000
total_cycles 9: 200.000000
total_cycles 10: 400.000000
total_cycles 11: 600.000000
total_cycles 12: 200.000000
total_cycles 13: 400.000000
total_cycles 14: 600.000000
stat_sample_freq: 233
total_cycles 0: 233.000000
total_cycles 1: 466.000000
total_cycles 2: 699.000000
total_cycles 3: 233.000000
total_cycles 4: 466.000000
total_cycles 5: 699.000000
total_cycles 6: 233.000000
total_cycles 7: 466.000000
total_cycles 8: 699.000000
total_cycles 9: 233.000000
total_cycles 10: 466.000000
total_cycles 11: 699.000000
total_cycles 12: 233.000000
total_cycles 13: 466.000000
total_cycles 14: 699.000000
stat_sample_freq: 166
total_cycles 0: 166.000000
total_cycles 1: 332.000000
total_cycles 2: 498.000000
total_cycles 3: 166.000000
total_cycles 4: 332.000000
total_cycles 5: 498.000000
total_cycles 6: 166.000000
total_cycles 7: 332.000000
total_cycles 8: 498.000000
total_cycles 9: 166.000000
total_cycles 10: 332.000000
total_cycles 11: 498.000000
total_cycles 12: 166.000000
total_cycles 13: 332.000000
total_cycles 14: 498.000000
stat_sample_freq: 200
total_cycles 0: 200.000000
total_cycles 1: 400.000000
total_cycles 2: 600.000000
total_cycles 3: 200.000000
total_cycles 4: 400.000000
total_cycles 5: 600.000000
total_cycles 6: 200.000000
total_cycles 7: 400.000000
total_cycles 8: 600.000000
total_cycles 9: 200.000000
total_cycles 10: 400.000000
total_cycles 11: 600.000000
total_cycles 12: 200.000000
total_cycles 13: 400.000000
total_cycles 14: 600.000000
stat_sample_freq: 233
total_cycles 0: 233.000000
total_cycles 1: 466.000000
total_cycles 2: 699.000000
total_cycles 3: 233.000000
total_cycles 4: 466.000000
total_cycles 5: 699.000000
total_cycles 6: 233.000000
total_cycles 7: 466.000000
total_cycles 8: 699.000000
total_cycles 9: 233.000000
total_cycles 10: 466.000000
total_cycles 11: 699.000000
total_cycles 12: 233.000000
total_cycles 13: 466.000000
total_cycles 14: 699.000000
stat_sample_freq: 166
total_cycles 0: 166.000000
total_cycles 1: 332.000000
total_cycles 2: 498.000000
total_cycles 3: 166.000000
total_cycles 4: 332.000000
total_cycles 5: 498.000000
total_cycles 6: 166.000000
total_cycles 7: 332.000000
total_cycles 8: 498.000000
total_cycles 9: 166.000000
total_cycles 10: 332.000000
total_cycles 11: 498.000000
total_cycles 12: 166.000000
total_cycles 13: 332.000000
total_cycles 14: 498.000000
stat_sample_freq: 200
total_cycles 0: 200.000000
total_cycles 1: 400.000000
total_cycles 2: 600.000000
total_cycles 3: 200.000000
total_cycles 4: 400.000000
total_cycles 5: 600.000000
total_cycles 6: 200.000000
total_cycles 7: 400.000000
total_cycles 8: 600.000000
total_cycles 9: 200.000000
total_cycles 10: 400.000000
total_cycles 11: 600.000000
total_cycles 12: 200.000000
total_cycles 13: 400.000000
total_cycles 14: 600.000000
stat_sample_freq: 233
total_cycles 0: 233.000000
total_cycles 1: 466.000000
total_cycles 2: 699.000000
total_cycles 3: 233.000000
total_cycles 4: 466.000000
total_cycles 5: 699.000000
total_cycles 6: 233.000000
total_cycles 7: 466.000000
total_cycles 8: 699.000000
total_cycles 9: 233.000000
total_cycles 10: 466.000000
total_cycles 11: 699.000000
total_cycles 12: 233.000000
total_cycles 13: 466.000000
total_cycles 14: 699.000000
stat_sample_freq: 166
total_cycles 0: 166.000000
total_cycles 1: 332.000000
total_cycles 2: 498.000000
total_cycles 3: 166.000000
total_cycles 4: 332.000000
total_cycles 5: 498.000000
total_cycles 6: 166.000000
total_cycles 7: 332.000000
total_cycles 8: 498.000000
total_cycles 9: 166.000000
total_cycles 10: 332.000000
total_cycles 11: 498.000000
total_cycles 12: 166.000000
total_cycles 13: 332.000000
total_cycles 14: 498.000000
stat_sample_freq: 200
total_cycles 0: 200.000000
total_cycles 1: 400.000000
total_cycles 2: 600.000000
total_cycles 3: 200.000000
total_cycles 4: 400.000000
total_cycles 5: 600.000000
total_cycles 6: 200.000000
total_cycles 7: 400.000000
total_cycles 8: 600.000000
total_cycles 9: 200.000000
total_cycles 10: 400.000000
total_cycles 11: 600.000000
total_cycles 12: 200.000000
total_cycles 13: 400.000000
total_cycles 14: 600.000000
stat_sample_freq: 233
total_cycles 0: 233.000000
total_cycles 1: 466.000000
total_cycles 2: 699.000000
total_cycles 3: 233.000000
total_cycles 4: 466.000000
total_cycles 5: 699.000000
total_cycles 6: 233.000000
total_cycles 7: 466.000000
total_cycles 8: 699.000000
total_cycles 9: 233.000000
total_cycles 10: 466.000000
total_cycles 11: 699.000000
total_cycles 12: 233.000000
total_cycles 13: 466.000000
total_cycles 14: 699.000000
